sl_no,slide_no,state,district,location_details,latitude,longitude,material_movement_history_raw
35465,UK/UTT/53J01/2015/1558,Uttarakhand,Uttarkashi,,30.867858,78.064105,Rock Slide NA
35466,UK/UTT/53J09/2013/0024,Uttarakhand,Uttarkashi,"UK_UTT_NH108_L24 NH-108, Helgu slide",30.868,78.6541,Debris Slide 16th-17th June 2013
35467,UK/UTT/53J01/2015/1525,Uttarakhand,Uttarkashi,,30.86831,78.187182,Rock Slide NA
35468,UK/UTT/53J01/2015/1524,Uttarakhand,Uttarkashi,,30.868906,78.188141,Rock Slide NA
35469,UK/UTT/53J05/2015/1680,Uttarakhand,Uttarkashi,Rishikesh-Gangotri NH-94,30.869009,78.298209,Rock Slide NA
35470,UK/UTT/53J01/2015/1485,Uttarakhand,Uttarkashi,,30.869194,78.234778,Rock Slide NA
35471,UK/UTT/53J01/2015/1523,Uttarakhand,Uttarkashi,,30.869366,78.186926,Rock Slide NA
35472,UK/UTT/53J05/2015/1683,Uttarakhand,Uttarkashi,,30.87,78.286333,Rock Slide NA
35473,UK/UTT/53J01/2015/1486,Uttarakhand,Uttarkashi,,30.870139,78.233972,Rock Slide NA
35474,UK/UTT/53J05/2015/1679,Uttarakhand,Uttarkashi,Rishikesh-Gangotri NH-94,30.871111,78.300833,Rock Slide NA
35475,UK/UTT/53J01/2015/1556,Uttarakhand,Uttarkashi,,30.871639,78.063694,Rock Slide NA
35476,UK/DEH/53F13/2015/407,Uttarakhand,Dehradun,Bhunar -Tyuni,30.872056,77.935972,Debris Slide NA
35477,UK/DEH/53F13/2015/394,Uttarakhand,Dehradun,Palasu -Bhandrouli -Atal,30.872076,77.814482,Debris Slide NA
35478,UK/UTT/53J01/2015/1557,Uttarakhand,Uttarkashi,,30.872411,78.06375,Rock Slide NA
35479,UK/UTT/53J01/2015/1487,Uttarakhand,Uttarkashi,,30.873013,78.233552,Rock Slide NA
35480,UK/UTT/53J05/2015/1677,Uttarakhand,Uttarkashi,Rishikesh-Gangotri NH-94,30.874018,78.304408,Rock Slide NA
35481,UK/UTT/53J01/2015/1555,Uttarakhand,Uttarkashi,,30.874161,78.058912,Rock Slide NA
35482,UK/UTT/53J05/2015/1678,Uttarakhand,Uttarkashi,Rishikesh-Gangotri NH-94,30.874167,78.303889,Rock Slide NA
35483,UK/UTT/53J05/2015/1676,Uttarakhand,Uttarkashi,Rishikesh-Gangotri NH-94,30.876667,78.308889,Rock Slide NA
35484,UK/UTT/53J05/2015/1675,Uttarakhand,Uttarkashi,Rishikesh-Gangotri NH-94,30.879583,78.310222,Rock Slide NA
35485,UK/UTT/53J05/2015/1674,Uttarakhand,Uttarkashi,Rishikesh-Gangotri NH-94,30.880167,78.309639,Rock Slide NA
35486,UK/UTT/53J01/2015/1483,Uttarakhand,Uttarkashi,,30.8825,78.24,Rock Slide NA
35487,UK/UTT/53J01/2015/1554,Uttarakhand,Uttarkashi,,30.883781,78.087315,Rock Slide NA
35488,UK/DEH/53F13/2015/404,Uttarakhand,Dehradun,Bhadraouli - Palasu,30.884464,77.829521,Debris Slide NA
35489,UK/DEH/53F13/2015/405,Uttarakhand,Dehradun,Bhadraouli - Palasu,30.884522,77.83363,Debris Slide NA
35490,UK/UTT/53J09/2013/0025,Uttarakhand,Uttarkashi,"UK_UTT_NH108_L25 NH-108, Sunagar slide-1",30.885,78.6694,Debris Slide 16th-17th June 2013
35491,UK/UTT/53J01/2015/1482,Uttarakhand,Uttarkashi,,30.886111,78.239722,Rock Slide NA
